URL,Title,Status Code,Load Time (ms),Self-Referencing URL with #,Anchor Details
https://www.melbournepolytechnic.edu.au/study/qualifications/apprenticeships-traineeships/,Apprenticeships & Traineeships Melbourne Polytechnic,200,303,false,
https://www.melbournepolytechnic.edu.au/your-career/upskilling/,Upskill Courses Melbourne | Melbourne Polytechnic,200,48,false,
https://www.melbournepolytechnic.edu.au/your-career/new-to-study/,New to Study | Melbourne Polytechnic,200,31,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/,How to Enrol for TAFE | Melbourne Polytechnic,200,60,false,
https://www.melbournepolytechnic.edu.au/students/academic-calendars/,Academic Calendars | Melbourne Polytechnic,200,39,false,
https://www.melbournepolytechnic.edu.au/study/free-tafe/,Free TAFE Courses Melbourne Polytechnic,200,103,true,"<a href=""#"" class="""" title=""Certificate IV in Alcohol and Other Drugs"">"
https://www.melbournepolytechnic.edu.au/locations/epping/,Epping Campus | Melbourne Polytechnic,200,29,false,
https://www.melbournepolytechnic.edu.au/locations/heidelberg/,Heidelberg Campus | Melbourne Polytechnic,200,35,false,
https://www.melbournepolytechnic.edu.au/locations/greensborough/,TAFE Greensborough Campus | Melbourne Polytechnic,200,27,false,
https://www.melbournepolytechnic.edu.au/study/building-design-and-construction/,Building & Construction Courses | Melbourne Polytechnic,200,63,false,
https://www.melbournepolytechnic.edu.au/study/engineering/,Engineering TAFE Melbourne | Melbourne Polytechnic,200,70,false,
https://www.melbournepolytechnic.edu.au/study/construction-trades/,Construction Trades TAFE | Melbourne Polytechnic Study Area,200,55,false,
https://www.melbournepolytechnic.edu.au/study/foundation-skills/,Foundation Skills TAFE | Melbourne Polytechnic Study Area,200,43,false,
https://www.melbournepolytechnic.edu.au/study/horticulture/,Horticulture TAFE Melbourne | Melbourne Polytechnic,200,177,false,
https://www.melbournepolytechnic.edu.au/study/hospitality/,Study Hospitality TAFE Melbourne | Melbourne Polytechnic,200,63,false,
https://www.melbournepolytechnic.edu.au/study/human-services/,Human Services Courses Melbourne | Melbourne Polytechnic,200,55,false,
https://www.melbournepolytechnic.edu.au/about-us/policies-and-procedures/,Melbourne Polytechnic - Policies and Procedures,200,44,false,
https://www.melbournepolytechnic.edu.au/study/,TAFE Courses in Melbourne | Melbourne Polytechnic,200,64,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/short-courses/,TAFE Short Courses Melbourne | Melbourne Polytechnic,200,82,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/,TAFE Qualifications | Melbourne Polytechnic,200,29,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/local-students/,How To Enrol For Local Students | Melbourne Polytechnic,200,139,false,
https://www.melbournepolytechnic.edu.au/short-courses/training-volunteer-tutors/,Volunteer Tutor Program TAFE - Melbourne Polytechnic,200,34,false,
https://www.melbournepolytechnic.edu.au/short-courses/cafe-culture/,Cafe Culture Course TAFE - Melbourne Polytechnic,200,48,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/preston-fitness-centre/,Melbourne Polytechnic's Preston gym and fitness facilities,200,32,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/specialist-training-facilities/meat-and-fish-processing-facilities/,Meat and Fish Processing Facilities at Melbourne Polytechnic,200,36,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/specialist-training-facilities/green-skills-centre/,Green Skills Centre at Melbourne Polytechnic,200,45,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/libraries/epping-library/,Melbourne Polytechnic Epping Campus Library,200,38,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/libraries/collingwood-library/,Melbourne Polytechnic Collingwood Campus Library,200,42,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/restaurants/the-apprentice-restaurant/,The Apprentice Restaurant in Prahran,200,38,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/shops/hairdressing-training-salon/,Melbourne Polytechnic's Hairdressing Salon,200,138,false,
https://www.melbournepolytechnic.edu.au/students/international-students/living-in-melbourne/getting-around/,Living in Melbourne Guide | Getting Around Melbourne,200,43,false,
https://www.melbournepolytechnic.edu.au/students/international-students/offshore-programs/,Offshore Programs through Melbourne Polytechnic,200,31,false,
https://www.melbournepolytechnic.edu.au/students/international-students/international-student-association-mpisa/,Melbourne Polytechnic International Student Association (MPISA),200,32,false,
https://www.melbournepolytechnic.edu.au/students/international-students/education-agents/becoming-an-agent/,Becoming an Agent for Melbourne Polytechnic,200,36,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/local-students/higher-education/,How To Enrol in a Degree | Melbourne Polytechnic,200,56,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/pathology-collection/,Certificate III in Pathology Collection | Melbourne Polytechnic,200,76,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/locksmithing/apprenticeship/,Certificate III in Locksmithing (Apprenticeship) | TAFE,200,51,false,
https://www.melbournepolytechnic.edu.au/study/diploma/building-and-construction-building/,Diploma of Building and Construction,200,134,false,
https://www.melbournepolytechnic.edu.au/study/bachelor/information-technology/,Bachelor of Information Technology | Melbourne Polytechnic,200,40,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/local-students/higher-education/admissions-terminology/,Admissions Glossary - Explained | Melbourne Polytechnic,200,41,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/veterinary-nursing/,Certificate IV in Veterinary Nursing | Melbourne Polytechnic,200,84,false,
https://www.melbournepolytechnic.edu.au/study/diploma/accounting/,Diploma of Accounting TAFE | Melbourne Polytechnic,200,68,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/landscape-construction/apprenticeship/,Certificate III in Landscape Construction - Apprenticeship,200,106,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/adrian-sherriff/,Melbourne Polytechnic Staff - Adrian Sherriff,200,124,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/frances-coppolillo/,Melbourne Polytechnic Executive Staff - Frances Coppolillo,200,30,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/cathy-frazer/,Melbourne Polytechnic Executive Staff - Cathy Frazer,200,34,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/marc-blanks/,Marc Blanks - Melbourne Polytechnic Executive Staff,200,32,false,
https://www.melbournepolytechnic.edu.au/about-us/policies-and-procedures/melbourne-polytechnic-online-service-standards/,Melbourne Polytechnic Online Service Standards,200,36,false,
https://www.melbournepolytechnic.edu.au/students/graduation/work-education-graduation/,Work Education Graduation | Melbourne Polytechnic,200,32,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/agriculture/,Certificate IV in Agriculture | Melbourne Polytechnic,200,89,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/commercial-cookery/non-apprenticeship/,Certificate III in Commercial Cookery (Non-apprenticeship),200,61,false,
https://www.melbournepolytechnic.edu.au/study/certificate-ii/horticulture/,Certificate II in Horticulture | Melbourne Polytechnic,200,148,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/carpentry/,Certificate 3 Carpentry TAFE | Melbourne Polytechnic,200,78,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/joinery/,Study Joinery (Cert 3 Joinery)| Melbourne Polytechnic,200,78,false,
https://www.melbournepolytechnic.edu.au/short-courses/textile-art/,Textile Art (Short Course) - Melbourne Polytechnic,200,44,false,
https://www.melbournepolytechnic.edu.au/short-courses/life-skills-cooking/,Short Cooking Course (Life Skills Cooking) - Melbourne Polytechnic,200,37,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/commercial-cookery/apprenticeship/,Certificate III in Commercial Cookery (Apprenticeship),200,75,false,
https://www.melbournepolytechnic.edu.au/short-courses/basic-food-handlers/,Food Handling Course TAFE - Melbourne Polytechnic,200,36,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/mental-health/,Certificate IV in Mental Health  | Melbourne Polytechnic,200,109,false,
https://www.melbournepolytechnic.edu.au/short-courses/gem-setting/,Gem Setting Course - Melbourne Polytechnic,200,67,false,
https://www.melbournepolytechnic.edu.au/short-courses/introductory-jewellery/,Jewellery Course (Introductory Short Course) - Melbourne Polytechnic,200,73,false,
https://www.melbournepolytechnic.edu.au/short-courses/intermediate-jewellery/,Jewellery Course (Intermediate) - Melbourne Polytechnic,200,61,false,
https://www.melbournepolytechnic.edu.au/study/advanced-diploma/creative-product-development/,Advanced Diploma of Creative Product Development | TAFE,200,70,false,
https://www.melbournepolytechnic.edu.au/about-us/policies-and-procedures/student-privacy-statement/,Student Privacy Statement,200,38,true,"<a href=""#"" class="""" title=""Privacy Statement"">"
https://www.melbournepolytechnic.edu.au/study/fees/local-student-fees/,TAFE Local Student Fees | Melbourne Polytechnic,200,43,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/parking/,Parking at Melbourne Polytechnic,200,126,false,
https://www.melbournepolytechnic.edu.au/students/international-students/course-and-delivery-assessment-methods/,Course and Delivery Assessment Methods at Melbourne Polytechnic,200,34,false,
https://www.melbournepolytechnic.edu.au/student-and-staff-portal/change-password/,Melbourne Polytechnic - Change Password,200,37,false,
https://www.melbournepolytechnic.edu.au/study/fees/local-student-fees/fees-for-local-vocational-education-students/trade-support-loans/,Trade Support Loans,200,48,false,
https://www.melbournepolytechnic.edu.au/study/diploma/business/,Study a Diploma of Business | Melbourne Polytechnic,200,84,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/hairdressing/non-apprenticeship/,Certificate III in Hairdressing | Melbourne Polytechnic,200,53,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/hairdressing/apprenticeship/,Hairdressing Apprenticeship (Cert 3) | Melbourne Polytechnic,200,95,false,
https://www.melbournepolytechnic.edu.au/study/diploma/theatre-arts/,Diploma of Theatre Arts (TAFE) | Melbourne Polytechnic,200,132,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/skills-recognition/,Skills Recognition and RPL | Melbourne Polytechnic,200,39,false,
https://www.melbournepolytechnic.edu.au/students/scholarships/apply-for-a-scholarship/,Apply for TAFE Scholarship Melbourne | Melbourne Polytechnic,200,38,false,
https://www.melbournepolytechnic.edu.au/students/scholarships/become-a-scholarship-sponsor/,Melbourne Polytechnic - Become a Scholarship Sponsor,200,35,false,
https://www.melbournepolytechnic.edu.au/students/scholarships/become-a-scholarship-sponsor/sponsors-form/,Melbourne Polytechnic -  Scholarship Sponsors Form,200,133,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/local-students/higher-education/higher-education-admissions-criteria-for-local-students/vet-study/,VET Study | Melbourne Polytechnic,200,50,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/dr-jonathan-dimond/,Melbourne Polytechnic Staff - Dr Jonathan Dimond,200,128,false,
https://www.melbournepolytechnic.edu.au/short-courses/farm-chemical-users-course/,Farm Chemical Users Course TAFE - Melbourne Polytechnic,200,44,false,
https://www.melbournepolytechnic.edu.au/short-courses/lea-safe-working-practice-swp-tutorial/,LEA - Safe Working Practice (SWP) Tutorial - Melbourne Polytechnic,200,42,false,
https://www.melbournepolytechnic.edu.au/short-courses/furniture-making/,Furniture Making Short Course - Melbourne Polytechnic,200,39,false,
https://www.melbournepolytechnic.edu.au/short-courses/construction-induction-card-white-card-formerly-red-card-training/,White Card Training (Construction Induction Card) - Melbourne Polytechnic,200,45,false,
https://www.melbournepolytechnic.edu.au/course-enquiry/,TAFE Course Enquiry | Melbourne Polytechnic,200,94,false,
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/and-the-beat-goes-on-for-songwriter-james/,And the beat goes on for songwriter James | Melbourne Polytechnic,200,54,true,"<a href=""#"" class="""" title=""Bachelor of Songwriting and Music Production"">"
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/from-corporate-life-to-centre-stage-in-the-music-industry/,From Corporate Life To The Music Industry | Melbourne Polytechnic,200,48,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/audition-and-interview-advice/specialist-make-up-folio-presentation/,Specialist Make-up Folio Presentation | Melbourne Polytechnic,200,106,false,
https://www.melbournepolytechnic.edu.au/students/key-facilities/conference-and-event-venues/preston-conference-and-function-centre/conference-centre-testimonials/,Testimonials for Melbourne Polytechnic's conference centre,200,115,false,
https://www.melbournepolytechnic.edu.au/students/scholarships/search-for-a-scholarship/transnational-merit-scholarship/,Transnational Merit Scholarship - Melbourne Polytechnic,200,53,false,
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/corey-set-his-sights-on-building-design/,Corey sets his sights on Building Design | Melbourne Polytechnic,200,43,true,"<a href=""#"" class="""" title=""Advanced Diploma of Building Design (Architectural)"">"
https://www.melbournepolytechnic.edu.au/study/certificate-iii/early-childhood-education-and-care/,Certificate III in Early Childhood Education and Care,200,83,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/hospitality/,Certificate IV in Hospitality TAFE | Melbourne Polytechnic,200,90,false,
https://www.melbournepolytechnic.edu.au/study/advanced-diploma/engineering-technology/civil-engineering-design/,Advanced Diploma of Engineering Technology | TAFE Course,200,74,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/work-health-and-safety/,Cert IV Work Health and Safety | Melbourne Polytechnic,200,88,false,
https://www.melbournepolytechnic.edu.au/study/fees/refunds/applying-for-special-circumstances-refunds-certificate-i-iv/special-circumstances-for-refunds-certificate-i-iv-application-form/,Special Circumstances for Refunds | Melbourne Polytechnic,200,185,false,
https://www.melbournepolytechnic.edu.au/students/scholarships/search-for-a-scholarship/international-higher-education-scholarship/,International Higher Education Scholarship - Melbourne Polytechnic,200,129,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/audition-and-interview-advice/live-production-interview-advice/,Live Production Interview Advice,200,46,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/audition-and-interview-advice/photo-imaging-interview-advice/,Photo Imaging Interview Advice,200,46,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/audition-and-interview-advice/screen-and-media-interview-advice/,Screen and Media Interview Advice,200,54,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/audition-and-interview-advice/sound-production-interview-advice/,Sound and Music Production Interview Advice,200,53,false,
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/the-rise-of-the-tradie-in-ever-expanding-melbourne/,The rise of the tradie in ever-expanding Melbourne | Melbourne Polytechnic,200,45,false,
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/students-primed-for-melbourne-international-flower-and-garden-show/,Students Primed for Flower & Garden Show | Melbourne Polytechnic,200,233,false,
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/arborist-amanda-woodhams-awarded-victorian-trainee-of-the-year/,"Arborist Amanda Woodhams, Trainee of the Year | Melbourne Polytechnic",200,55,true,"<a href=""#"" class="""" title=""Certificate III in Arboriculture"">,<a href=""#"" class="""" title=""Diploma of Arboriculture"">"
https://www.melbournepolytechnic.edu.au/study/certificate-iii/jewellery-manufacture/apprenticeship/,Certificate III in Jewellery Manufacture (Apprenticeship),200,97,false,
https://www.melbournepolytechnic.edu.au/short-courses/introduction-to-winemaking/,Introduction to Winemaking - Melbourne Polytechnic,200,40,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/hospitality/,Certificate III in Hospitality | Melbourne Polytechnic,200,71,false,
https://www.melbournepolytechnic.edu.au/study/certificate-ii/floristry-assistant/,Certificate II in Floristry | Melbourne Polytechnic,200,203,false,
https://www.melbournepolytechnic.edu.au/study/associate-degree/early-years-studies/,Associate Degree of Early Years Studies,200,45,false,
https://www.melbournepolytechnic.edu.au/study/bachelor/agriculture-and-technology/viticulture-and-winemaking/,Bachelor of Viticulture | Degrees in Melbourne,200,82,false,
https://www.melbournepolytechnic.edu.au/students/international-students/offshore-programs/sichuan-college-of-architectural-technology/,Sichuan College of Architectural Technology,200,36,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/glass-and-glazing/,Certificate IV in Glass and Glazing | Melbourne Polytechnic,200,67,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/sports-turf-management/non-apprenticeship/,Study Certificate III in Sports Turf Management (Non-App),200,246,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/child-youth-and-family-intervention-partial/trauma-informed-practice/,"Study Certificate IV in Child, Youth & Family Intervention",200,124,false,
https://www.melbournepolytechnic.edu.au/students/scholarships/search-for-a-scholarship/bendigo-community-bank-access-support-scholarships/,Bendigo Community Bank - Access & Support Scholarships - Melbourne Polytechnic,200,44,false,
https://www.melbournepolytechnic.edu.au/study/undergraduate-certificate/accounting/,Undergraduate Certificate in Accounting | Melbourne Polytechnic,200,91,false,
https://www.melbournepolytechnic.edu.au/industry-partnerships/,Industry and Partnerships | Melbourne Polytechnic,200,50,false,
https://www.melbournepolytechnic.edu.au/industry-partnerships/career-practitioners/,Melbourne Polytechnic - Career Practitioners,200,163,false,
https://www.melbournepolytechnic.edu.au/industry-partnerships/career-practitioners/book-activities-and-events/,Melbourne Polytechnic - Book Activities and Events ,200,37,false,
https://www.melbournepolytechnic.edu.au/study/how-to-enrol/local-students/vocational-education/enrolment-terms-and-conditions/,Vocational Education Terms and Conditions of Enrolment,200,65,false,
https://www.melbournepolytechnic.edu.au/industry-partnerships/career-practitioners/book-a-head-start-visit/,Melbourne Polytechnic | Book a Head Start Visit,200,119,false,
https://www.melbournepolytechnic.edu.au/study/certificate-ii/building-and-construction-pre-apprenticeship/painting-and-decorating/,Cert 2 Building & Construction (Painting) | Melb Polytechnic,200,264,false,
https://www.melbournepolytechnic.edu.au/students/international-students/offshore-programs/achievers-unikey-campus-auc/,Achievers Unikey Campus (AUC),200,43,false,
https://www.melbournepolytechnic.edu.au/study/undergraduate-certificate/hospitality-management/,Study Undergraduate Certificate in Hospitality Management,200,109,false,
https://www.melbournepolytechnic.edu.au/study/undergraduate-certificate/music/,Undergraduate Certificate in Music,200,47,false,
https://www.melbournepolytechnic.edu.au/study/diploma/conservation-and-ecosystem-management/,Study Diploma of Conservation & Ecosystem Management,200,47,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/sports-turf-management/apprenticeship/,Study Certificate III in Sports Turf Management (App),200,224,false,
https://www.melbournepolytechnic.edu.au/about-us/news-and-events/news/meg-madeley-mental-health/,Meg Aids Community via Mental Health Training | Melbourne Polytechnic,200,98,false,
https://www.melbournepolytechnic.edu.au/students/outstanding-student-of-the-year-awards/outstanding-student-of-the-year-awards-2020/,Outstanding Student of the Year Awards 2020,200,43,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/andy-white/,Andy White | Melbourne Polytechnic Staff,200,42,false,
https://www.melbournepolytechnic.edu.au/about-us/our-staff/andrea-draper/,Melbourne Polytechnic Staff - Andrea Draper,200,40,false,
https://www.melbournepolytechnic.edu.au/about-us/policies-and-procedures/covid-19-vaccination-privacy-notice/,COVID-19 Vaccination Privacy Notice,200,260,true,"<a href=""#"" class="""" title=""Coronavirus Information (COVID-19)"">"
https://www.melbournepolytechnic.edu.au/study/undergraduate-certificate/songwriting-and-music-production/,Certificate in Songwriting and Music Production | Melbourne Polytechnic,200,65,false,
https://www.melbournepolytechnic.edu.au/students/graduation/graduation-livestream/,Melbourne Polytechnic Graduation Livestream,200,34,false,
https://www.melbournepolytechnic.edu.au/about-us/corporate-information/corporate-publications/gender-equality-action-plan/,Gender Equality Action Plan,200,43,false,
https://www.melbournepolytechnic.edu.au/students/international-students/offshore-programs/melbourne-polytechnic-vietnam/,Melbourne Polytechnic Vietnam,200,44,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/engineering-fabrication-trade/boilermakingwelding/,Certificate 3 Engineering (Fabrication) - Melbourne Polytechnic,200,77,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/engineering-fabrication-trade/sheetmetal-working/,Certificate 3 Engineering Fabrication (Light) | Melb Polytechnic,200,203,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/shopfitting/,Certificate III in Shopfitting,200,101,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/engineering-mechanical-trade/,Study Certificate III in Engineering - Mechanical Trade,200,62,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/construction-waterproofing/,Certificate III in Construction Waterproofing,200,76,false,
https://www.melbournepolytechnic.edu.au/study/diploma/marketing-and-communication/,Diploma of Marketing and Communication,200,238,false,
https://www.melbournepolytechnic.edu.au/study/vce/victorian-certificate-of-education/vocational-major/,VCE - Victorian Certificate of Education - Vocational Major,200,55,false,
https://www.melbournepolytechnic.edu.au/study/advanced-diploma/music/performance/,Advanced Diploma of Music | Melbourne Polytechnic,200,87,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iv/music/sound-production/,Certificate IV in Music - Sound Production,200,101,false,
https://www.melbournepolytechnic.edu.au/study/diploma/visual-arts/painting-printmaking/,Diploma of Visual Arts (Painting Printmaking) | TAFE Course,200,48,false,
https://www.melbournepolytechnic.edu.au/study/diploma/screen-and-media/specialist-make-up-services/,Diploma of Screen and Media Makeup | Melbourne Polytechnic,200,214,false,
https://www.melbournepolytechnic.edu.au/study/diploma/graphic-design/,Diploma of Graphic Design | Melbourne Polytechnic,200,86,false,
https://www.melbournepolytechnic.edu.au/about-us/departments/arts-education-and-agritech-department-higher-education/,"Arts, Education, & Agritech",200,106,false,
https://www.melbournepolytechnic.edu.au/about-us/departments/creative-arts-department-vet/,Melbourne Polytechnic - Creative Arts,200,56,false,
https://www.melbournepolytechnic.edu.au/about-us/departments/human-services-and-education-department-vet/,Melbourne Polytechnic - Health and Community,200,68,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/articulation-and-educational-partnerships/,Articulation and Educational Partnerships | Melbourne Polytechnic,200,45,true,"<a href=""#"" class="""" title=""No title"">,<a href=""#"" class="""" title=""Study Pathways"">"
https://www.melbournepolytechnic.edu.au/study/certificate-iii/parks-and-gardens/apprenticeship/,Parks and Gardens Apprenticeship | Melbourne Polytechnic,200,94,false,
https://www.melbournepolytechnic.edu.au/about-us/our-history/melbourne-polytechnic-in-the-1930s/preston-technical-school-a-new-school-for-a-burgeoning-north/,Melbourne Polytechnic History - Preston Technical School,200,46,false,
https://www.melbournepolytechnic.edu.au/study/course/identifying-reporting-and-preventing-abuse-andor-grooming-of-people-with-disabilities/,Course in Preventing Abuse of People With Disabilities,200,254,false,
https://www.melbournepolytechnic.edu.au/locations/collingwood/,Collingwood Campus | Melbourne Polytechnic,200,37,false,
https://www.melbournepolytechnic.edu.au/students/international-students/offshore-programs/cicra-campus/,CICRA Campus,200,57,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/apprenticeships-traineeships/electrical-apprentices-program/,Melbourne Polytechnic - Electrical Apprentices Program,200,285,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/apprenticeships-traineeships/the-trade-and-traineeship-support-unit/,Melbourne Polytechnic - The Trade and Traineeship Support Unit,200,84,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/apprenticeships-traineeships/school-based-apprenticeships-and-traineeships/,Melbourne Polytechnic - School Based Apprenticeships and Traineeships,200,53,false,
https://www.melbournepolytechnic.edu.au/study/certificate-iii/animal-care-services/,Certificate III in Animal Care Services | Melbourne Polytechnic,200,95,false,
https://www.melbournepolytechnic.edu.au/study/fees/refunds/applying-for-remission-or-re-credit-of-fee-help/fee-help-refund-application/,Melbourne Polytechnic - Application for re-credit of FEE-HELP,200,256,false,
https://www.melbournepolytechnic.edu.au/study/qualifications/vet-delivered-to-secondary-students-vdss/,VDSS at Melbourne Polytechnic,200,67,false,
https://www.melbournepolytechnic.edu.au/study/diploma/early-childhood-education-and-care/traineeship/,Diploma of Early Childhood Education and Care - Traineeship,200,128,false,
